Time,Temp. inlet coil,Temp. outlet coil,Temp. inlet radiator,Temp. outlet radiator
25/01/2022 00:45:14.193768,20.75,20.75,20.25,0.00
25/01/2022 00:45:18.027651,21.00,20.50,20.75,0.00
